NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ЭК,11/2016,BY,73,,378.54,21.8,0
ИМ,11/2016,UZ,12,,45346.3,35989,0
ЭК,12/2016,AB,04,,204354.01,174991,0
ЭК,12/2016,AB,38,,3937.81,10222.62,0
ЭК,10/2016,DE,04,,22389.27,2960.12,0
ИМ,12/2016,DE,90,,1619.86,2.64,0
ЭК,11/2016,AM,34,,871.29,1941.36,0
ЭК,11/2016,UA,34,,16403.25,23309.27,0
ИМ,11/2016,VN,72,,81362.88,94608,0
ИМ,10/2016,DE,34,,2776.41,448.02,0
ИМ,12/2016,PL,34,,4397.58,2940,0
ЭК,10/2016,DE,44,,15491.06,146162,0
ЭК,10/2016,LT,44,,8754.56,15589.5,0
ИМ,11/2016,UA,44,,16408.53,20259.68,0
ЭК,12/2016,LT,44,,9403.83,12707,0
ИМ,11/2016,TR,72,,375,51,0
ИМ,10/2016,SK,72,,179406.52,200699,0
ЭК,12/2016,AB,70,,749.75,234.9,0
ИМ,10/2016,ES,68,,28681.66,23500,0
ИМ,12/2016,CN,69,,528357.77,1687856.98,0
ИМ,10/2016,FR,32,,53339.95,16600,0
ЭК,12/2016,GE,18,,757.2,312,0
ИМ,12/2016,CZ,40,,6229.68,63,0
ИМ,12/2016,MD,20,,93822.12,98e3,0
ИМ,12/2016,CL,08,,30400,2e4,0
ИМ,12/2016,ES,20,,62370.99,47690,0
ЭК,11/2016,UA,25,,935.87,42e3,0
ИМ,10/2016,ES,84,,96644.45,42570,0
ИМ,10/2016,NL,84,,2285.37,3.6,0
ИМ,12/2016,CN,84,,66964.63,51309.17,0
ИМ,12/2016,PL,39,,30464.2,16614.03,0
ИМ,11/2016,DE,84,,14913.13,1041.72,0
ЭК,12/2016,UA,84,,404526.46,44743.2,0
ЭК,10/2016,BY,84,,90808.74,26685.5,0
ИМ,11/2016,IT,84,,1799.08,12,0
ЭК,10/2016,KZ,84,,175140.81,35698,0
ИМ,11/2016,UA,84,,30862.07,20205,0
ИМ,11/2016,IN,84,,17339.25,2280,0
ЭК,10/2016,KZ,85,,9662.88,47.14,0
ИМ,11/2016,FR,85,,60,0.3,0
ИМ,12/2016,CN,63,,2846.83,195.6,0
ЭК,11/2016,KG,19,,6315.22,3327.8,0
ЭК,12/2016,BY,19,,8879.36,10618,0
ЭК,12/2016,AZ,19,,11945.32,6400,0
ИМ,12/2016,PL,63,,480.41,30,0
ЭК,12/2016,UA,33,,195.04,122.22,0
ЭК,10/2016,KZ,33,,882.81,586.65,0
ЭК,10/2016,KG,33,,133.81,89.63,0
ЭК,12/2016,GE,48,,25600.11,21788,0
ЭК,10/2016,AB,21,,725.55,429,0
ЭК,12/2016,UA,22,,3221.25,9032.1,0
ЭК,12/2016,UA,28,,188.92,350.55,0
ИМ,11/2016,DE,35,,140074.93,59132.21,0
ЭК,11/2016,UA,22,,7427.51,24857.95,0
ЭК,12/2016,UA,38,,1715.04,2812.86,0
ИМ,10/2016,DE,38,,4717.86,2245.4,0
ЭК,12/2016,IL,38,,176633.7,430280,0
ИМ,12/2016,CN,34,,336,108.8,0
ИМ,12/2016,IT,44,,723.71,124.8,0
ЭК,10/2016,AZ,44,,122533.15,82108,0
ИМ,12/2016,CN,44,,670938.75,1654610.5,0
ЭК,11/2016,LT,72,,16400,2e4,0
ИМ,11/2016,TR,70,,27436.14,17302.42,0
ИМ,10/2016,BY,62,,490.1,108,0
ИМ,11/2016,DE,68,,68150.29,21773,0
ИМ,10/2016,CN,69,,307931.34,895672.35,0
ЭК,10/2016,BY,32,,22605.39,6090,0
ИМ,12/2016,CH,74,,5506.53,0.56,0
ИМ,11/2016,KZ,74,,31747.17,764.5,0
ЭК,12/2016,KZ,74,,33781.74,764.5,0
ИМ,11/2016,BR,23,,291824,488e3,0
ИМ,11/2016,TR,40,,10,8.85,0
ИМ,11/2016,MD,20,,20790.82,24500,0
ИМ,10/2016,TR,25,,113162.53,1268128,0
ЭК,10/2016,US,15,,7749,20470.27,0
ИМ,12/2016,BE,84,,25840.72,580,0
ЭК,11/2016,KZ,84,,112185.71,15564.3,0
ИМ,10/2016,DE,39,,25711.1,6154.75,0
ИМ,11/2016,DE,39,,17341.04,4249.83,0
ИМ,12/2016,PL,30,,18.27,2.9,0
ИМ,11/2016,SE,59,,32328.52,497.5,0
ИМ,12/2016,CH,85,,8756.23,0.29,0
ИМ,10/2016,DE,85,,4190.01,1.66,0
ИМ,12/2016,PL,85,,109.6,12.65,0
ИМ,12/2016,PL,82,,7751.26,935.21,0
ИМ,11/2016,TR,63,,80,1.95,0
ЭК,12/2016,CN,33,,350835.45,8976,0
ЭК,12/2016,AB,48,,52176.32,77580,0
ЭК,11/2016,AB,48,,70531.92,113810,0
ЭК,12/2016,AB,21,,10624.23,5421,0
ЭК,10/2016,BY,83,,483.72,5.2,0
ИМ,12/2016,PT,73,,3644.75,0.41,0
ЭК,12/2016,AB,83,,1061.55,820,0
ИМ,12/2016,CN,95,,111723.6,18217.3,0
ЭК,10/2016,IL,38,,82106.7,210040,0
ИМ,12/2016,DE,73,,3965.76,11.45,0
ЭК,12/2016,AE,04,,1110.51,117.4,0
ИМ,12/2016,FI,90,,33696.83,411.4,0
ЭК,10/2016,BY,90,,1329.7,397.5,0
ЭК,11/2016,BY,90,,446.06,4.2,0
ЭК,10/2016,AB,34,,2145.42,3187.59,0
ЭК,10/2016,KZ,34,,22344.82,29378.13,0
ЭК,11/2016,AZ,44,,31845.07,42201,0
ИМ,10/2016,CN,44,,482154.46,1201208.71,0
ЭК,11/2016,NL,44,,8039.57,16025,0
ЭК,12/2016,TR,44,,11214,21154.65,0
ЭК,12/2016,AZ,44,,16854.08,21914,0
ЭК,11/2016,GE,10,,1100,2e3,0
ИМ,12/2016,SK,72,,9494.07,7250,0
ИМ,11/2016,FR,70,,58284.88,23637.83,0
ИМ,12/2016,RO,70,,1844.91,162.65,0
ИМ,12/2016,IT,76,,1866.91,230.88,0
ИМ,12/2016,CN,76,,1039.31,270.87,0
ИМ,12/2016,CN,56,,41.1,5.92,0
ИМ,12/2016,FR,32,,74504.74,22410,0
ЭК,11/2016,UA,32,,262.64,303.28,0
ИМ,12/2016,DE,32,,90082.78,20315.76,0
ЭК,10/2016,AB,32,,1393.58,11276.76,0
ИМ,12/2016,UA,94,,896.03,366.39,0
ИМ,12/2016,IT,94,,357.29,105.53,0
ИМ,12/2016,TW,94,,2150.35,525.84,0
ЭК,11/2016,BY,20,,12013.33,19035.65,0
ЭК,10/2016,EG,87,,7254.4,13140,0
ИМ,10/2016,BY,64,,14770.05,469.46,0
ЭК,11/2016,CN,15,,720925.21,883104,0
ЭК,12/2016,DE,15,,21755.2,19016.75,0
ЭК,12/2016,BY,84,,32739.16,4455.6,0
ЭК,11/2016,AB,15,,3282.46,1736,0
ИМ,12/2016,IT,42,,684.65,114.82,0
ИМ,12/2016,TW,39,,91.56,7.13,0
ЭК,10/2016,BY,39,,11781.16,1091.4,0
ИМ,10/2016,CN,39,,132455.41,63210.63,0
ИМ,11/2016,IT,39,,313.52,0.4,0
ИМ,12/2016,IT,84,,104701.77,8970,0
ИМ,11/2016,TR,84,,153530,10669.85,0
ИМ,12/2016,TR,84,,6e4,2720,0
ИМ,10/2016,US,39,,302.69,0.05,0
ИМ,10/2016,SE,59,,13891.11,194.5,0
ЭК,12/2016,UA,19,,20018.53,9722,0
ЭК,12/2016,GE,33,,171.76,122.22,0
ЭК,11/2016,GE,48,,13890.9,12880,0
ЭК,10/2016,GE,48,,19040.15,16500,0
ЭК,11/2016,AB,21,,4581.74,2706,0
ЭК,10/2016,KG,28,,201.31,337.35,0
ЭК,10/2016,AB,83,,491.98,460.5,0
ИМ,12/2016,BY,73,,16685.92,7480,0
ИМ,12/2016,CN,83,,3231.22,299.12,0
ИМ,12/2016,SK,73,,13002.91,74.5,0
ЭК,10/2016,BY,35,,497.62,38.9,0
