NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ИМ,2015,BY,6403999800,ПАР,28103,1125,1610
ЭК,2015,UA,2009899600,,213,1248,0
ЭК,2015,UA,1515299000,,35926,34127,0
ЭК,2015,TR,0909220000,,112458,164500,0
ИМ,2015,UA,8309909000,,1916377,726427,0
ЭК,2015,NL,3823199000,,1474412,2839850,0
ЭК,2015,UA,2009909800,,4466,15493,0
ЭК,2015,UA,3214101009,,433,107,0
ЭК,2015,KZ,8521900009,ШТ,1009,38,6
ИМ,2015,CZ,7013499900,ШТ,14722,2807,1521
ИМ,2015,TR,1806906000,,74169,24613,0
ЭК,2015,BY,8431200000,,7057,1025,0
ИМ,2015,IN,3906909009,,10934,6380,0
ИМ,2015,TR,9401800009,ШТ,153292,30306,8511
ИМ,2015,IT,9032102000,ШТ,970,1,1
ИМ,2015,UA,3923100000,,260096,178884,0
ИМ,2015,BY,4903000000,,94,15,0
ЭК,2015,UA,2009896900,,7886,18651,0
ЭК,2015,KZ,0405109000,,2115,360,0
ИМ,2015,TR,3926909709,,13556,1979,0
ИМ,2015,TR,8208100000,,324,43,0
ИМ,2015,TR,3925908000,,199,26,0
ЭК,2015,UA,2201101900,Л,13357,71545,68870
ИМ,2015,SE,5911321100,М2,160666,2631,2135
ИМ,2015,TR,3922200000,,5914,1706,0
ЭК,2015,AM,3808942000,,1520,2278,0
ИМ,2015,TR,1704905100,,613231,376331,0
ИМ,2015,TR,3925901000,,604,76,0
ЭК,2015,KZ,8507108009,ШТ,418,250,100
ИМ,2015,IT,8420108000,ШТ,7485,464,2
ИМ,2015,DE,3208901909,,211771,69942,0
ИМ,2015,BY,8483908100,,517662,476680,0
ИМ,2015,TR,3506100000,,55008,13397,0
ИМ,2015,CN,6307103000,,330,27,0
ИМ,2015,FR,3208909109,,455701,131200,0
ИМ,2015,BY,6401929000,ПАР,53,25,10
ИМ,2015,IT,9603909900,ШТ,988,35,3
ИМ,2015,UA,9404909000,,12559,1506,0
ИМ,2015,BY,7013499900,ШТ,152,52,96
ИМ,2015,US,3926909709,,10088,82,0
ИМ,2015,SG,2909498000,,10915,4100,0
ИМ,2015,BY,6210400000,,679,203,0
ЭК,2015,TR,1006109600,,1329476,4936099,0
ЭК,2015,BG,3301294100,,1561682,22803,0
ИМ,2015,CN,6908909100,М2,238507,580041,32316
ЭК,2015,AM,3402209000,,11214,15873,0
ИМ,2015,UA,9403601001,ШТ,8614,6582,178
ИМ,2015,BY,6404199000,ПАР,130,4,12
ЭК,2015,UA,2009897908,,15996,37267,0
ИМ,2015,DE,8205510090,,108,5,0
ИМ,2015,DE,3926909709,,332,3,0
ИМ,2015,CN,9405104003,,963,140,0
ИМ,2015,IT,8422909000,,19065,200,0
ИМ,2015,ID,9401610000,ШТ,21089,2100,157
ЭК,2015,GE,4402900000,,2335,10097,0
ИМ,2015,TR,8418302008,ШТ,2964,268,2
ЭК,2015,UA,8428909000,ШТ,113164,23000,10
ЭК,2015,KZ,6506101000,ШТ,5507,1957,5560
ИМ,2015,CN,9617000000,,153,13,0
ЭК,2015,UA,8483402900,ШТ,74093,13534,19
ЭК,2015,IL,1512119101,,4703,4707,0
ИМ,2015,CH,5911321100,М2,53129,592,395
ЭК,2015,AB,0403905109,,61744,71966,0
ИМ,2015,CL,0813200000,,157000,80000,0
ИМ,2015,IT,7013499900,ШТ,1053,170,408
ИМ,2015,ES,2204298201,Л,899793,1603100,1616467
ИМ,2015,TR,9405109808,,428,25,0
ИМ,2015,CN,8536619000,,84,9,0
ЭК,2015,GE,1512199009,,65139,66780,0
ИМ,2015,DE,1210201000,,149616,18000,0
ЭК,2015,GE,4409299100,М2,20508,20007,1535
ИМ,2015,PL,8421990008,,20882,179,0
ИМ,2015,DE,8208100000,,5521,7,0
ИМ,2015,DK,8413607000,ШТ,22239,385,1
ИМ,2015,CZ,8438400000,ШТ,72559,1098,1
ИМ,2015,TR,7009910000,,3460,1213,0
ИМ,2015,DE,3209900000,,114,10,0
ЭК,2015,DE,2008199900,,4516,2647,0
ИМ,2015,TR,3208901909,,1121,153,0
ЭК,2015,AB,7326909309,,979,3,0
ИМ,2015,TR,9401690000,ШТ,2120,158,32
ИМ,2015,BG,7013491000,ШТ,1162,480,4800
ИМ,2015,GB,7419999000,,3030,7,0
ИМ,2015,UA,3924900000,,13360,5499,0
ИМ,2015,CN,8446100000,ШТ,30429,1450,2
ИМ,2015,IT,7308909900,,2682,320,0
ИМ,2015,CN,9401610000,ШТ,1810,325,9
ИМ,2015,CN,3922100000,,193835,90605,0
ЭК,2015,BY,1211908509,,12401,6500,0
ЭК,2015,UA,2815120000,КГ NAOH,568,1414,24
ЭК,2015,TR,4407109800,М3,2801,20608,35
ИМ,2015,CN,9405990008,,142,28,0
ИМ,2015,TR,4822100000,,4539,2231,0
ИМ,2015,CN,3925908000,,48589,21700,0
ИМ,2015,BY,8416300000,,1952,500,0
ЭК,2015,UA,8483402309,ШТ,22584,3508,2
ИМ,2015,RS,0602209000,ШТ,370848,73547,153900
ЭК,2015,AM,9403401000,ШТ,3991,2089,113
ИМ,2015,GB,8421990008,,265,1,0
ИМ,2015,IT,3923509000,,34469,5717,0
ИМ,2015,IT,1520000000,,17438,12500,0
ИМ,2015,UA,8302490009,,1303,521,0
ИМ,2015,TR,9403609009,ШТ,507,84,3
ИМ,2015,IT,3923100000,,1348,188,0
ИМ,2015,FI,9401300001,ШТ,4246,90,10
ЭК,2015,LT,4401310000,,6296,66000,0
ИМ,2015,CA,8477908000,,7341,4,0
ИМ,2015,TR,8514300000,ШТ,1138,715,1
ИМ,2015,CN,8479301009,ШТ,51219,31326,1
ИМ,2015,IN,5911200000,,152,5,0
ИМ,2015,CN,8413603900,ШТ,1297,8,1
ИМ,2015,BY,8414302004,ШТ,569,75,10
ИМ,2015,TR,8443197000,ШТ,4138,5907,1
ИМ,2015,TR,9401908009,,11,3,0
ИМ,2015,TR,4911990000,,22646,487,0
ЭК,2016,UA,2009719909,,39753,114788,0
ЭК,2016,UA,3307490000,,4237,3007,0
ЭК,2016,AB,1512199002,,124839,131251,0
ИМ,2016,CN,9503007000,ШТ,158152,26148,77549
