....................
KOD,SIMPLE_NAM
0102296100,КОРОВЫ УБОЙНЫЕ МАССОЙ БОЛЕЕ 300 КГ
01022969,"КОРОВЫ МАССОЙ БОЛЕЕ 300 КГ, ПРОЧИЕ"
0102296900,"КОРОВЫ МАССОЙ БОЛЕЕ 300 КГ, ПРОЧИЕ"
01022971,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ, УБОЙНЫЕ"
0102297100,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ, УБОЙНЫЕ"
01022979,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ, ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ"
0102297900,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ, ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ"
010231,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
01023100,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
0102310000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
010239,БУЙВОЛЫ ПРОЧИЕ
01023910,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: БУЙВОЛЫ, ПРОЧИЕ ДОМАШНИЕ ВИДЫ"
0102391000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: БУЙВОЛЫ, ПРОЧИЕ ДОМАШНИЕ ВИДЫ"
01023990,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ: ПРОЧИЕ"
0102399000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ: ПРОЧИЕ"
010290,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ
01029020,ПРОЧИЕ ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ ЖИВОГО КРУПНОГО РОГАТОГО  СКОТА
0102902000,ПРОЧИЕ ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ ЖИВОГО КРУПНОГО РОГАТОГО  СКОТА
01029091,ПРОЧИЕ ДОМАШНИЕ ВИДЫ ПРОЧЕГО ЖИВОГО КРУПНОГО РОГАТОГО СКОТА
0102909100,ПРОЧИЕ ДОМАШНИЕ ВИДЫ ПРОЧЕГО ЖИВОГО КРУПНОГО РОГАТОГО СКОТА
01029099,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: ПРОЧИЕ
0102909900,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: ПРОЧИЕ
0103,СВИНЬИ ЖИВЫЕ
010310,СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
01031000,СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
0103100000,СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
010391,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
01039110,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ ЖИВЫХ, МАССОЙ МЕНЕЕ 50 КГ"
0103911000,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ ЖИВЫХ, МАССОЙ МЕНЕЕ 50 КГ"
01039190,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
0103919000,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
010392,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
01039211,"СВИНОМАТКИ МАССОЙ НЕ МЕНЕЕ 160 КГ, ИМЕВШИЕ ПО КРАЙНЕЙ МЕРЕ ОДИН ОПОРОС"
0103921100,"СВИНОМАТКИ МАССОЙ НЕ МЕНЕЕ 160 КГ, ИМЕВШИЕ ПО КРАЙНЕЙ МЕРЕ ОДИН ОПОРОС"
01039219,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ, ИМЕЮЩИЕ МАССУ 50 КГ ИЛИ БОЛЕЕ"
0103921900,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ, ИМЕЮЩИЕ МАССУ 50 КГ ИЛИ БОЛЕЕ"
01039290,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
0103929000,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
0104,ОВЦЫ И КОЗЫ ЖИВЫЕ
010410,ОВЦЫ ЖИВЫЕ
01041010,"ОВЦЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
0104101000,"ОВЦЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
01041030,"ЯГНЯТА (ДО ОДНОГО ГОДА), ЖИВЫЕ"
0104103000,"ЯГНЯТА (ДО ОДНОГО ГОДА), ЖИВЫЕ"
01041080,ПРОЧИЕ ОВЦЫ ЖИВЫЕ
0104108000,ПРОЧИЕ ОВЦЫ ЖИВЫЕ
010420,КОЗЫ ЖИВЫЕ
01042010,"КОЗЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
0104201000,"КОЗЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
01042090,ПРОЧИЕ КОЗЫ ЖИВЫЕ
0104209000,ПРОЧИЕ КОЗЫ ЖИВЫЕ
0105,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, ТО ЕСТЬ КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS), УТКИ, ГУСИ, ИНДЕЙКИ И ЦЕСАРКИ"
010511,КУРЫ ДОМАШНИЕ (CALLUS DOMESTICUS) ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051111,ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ ЛИНИИ НЕСУШЕК ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
0105111100,ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ ЛИНИИ НЕСУШЕК ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
01051119,ПРОЧИЕ ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ [ПРАРОДИТЕЛЬСКИЕ И МАТЕРИНСКИЕ  ЛИНИИ] ВИДА CALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
0105111900,ПРОЧИЕ ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ [ПРАРОДИТЕЛЬСКИЕ И МАТЕРИНСКИЕ  ЛИНИИ] ВИДА CALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
01051191,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS ЛИНИИ НЕСУШЕК МАССОЙ НЕ БОЛЕЕ 185 Г
0105119100,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS ЛИНИИ НЕСУШЕК МАССОЙ НЕ БОЛЕЕ 185 Г
01051199,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
0105119900,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
010512,ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051200,ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105120000,ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010513,УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051300,УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105130000,УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010514,ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051400,ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105140000,ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010515,ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051500,ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105150000,ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010594,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
01059400,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
0105940000,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
010599,"УТКИ, ГУСИ, ИНДЕЙКИ, ЦЕСАРКИ ЖИВЫЕ ВЕСОМ БОЛЕЕ 185 Г"
01059910,ПРОЧИЕ УТКИ ЖИВЫЕ
0105991000,ПРОЧИЕ УТКИ ЖИВЫЕ
01059920,ПРОЧИЕ ГУСИ ЖИВЫЕ
0105992000,ПРОЧИЕ ГУСИ ЖИВЫЕ
01059930,ПРОЧИЕ ИНДЕЙКИ ЖИВЫЕ
0105993000,ПРОЧИЕ ИНДЕЙКИ ЖИВЫЕ
01059950,ПРОЧИЕ ЦЕСАРКИ ЖИВЫЕ
0105995000,ПРОЧИЕ ЦЕСАРКИ ЖИВЫЕ
0106,ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ
010611,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: МЛЕКОПИТАЮЩИЕ ПРИМАТЫ
01061100,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: МЛЕКОПИТАЮЩИЕ ПРИМАТЫ
0106110010,ПРОЧИЕ ЖИВЫЕ ПРИМАТЫ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106110090,ПРОЧИЕ ЖИВЫЕ ПРИМАТЫ
010612,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ: КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ (ОТРЯДА CETACEA);ЛАМАНТИНЫ И ДЮГОНИ (ОТРЯДА SIRENIA);ТЮЛЕНИ,МОРСКИЕ ЛЬВЫ И МОРЖИ (ПОДОТРЯДА PINNIPEDIA)"
01061200,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ: КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ (ОТРЯДА CETACEA);ЛАМАНТИНЫ И ДЮГОНИ (ОТРЯДА SIRENIA);ТЮЛЕНИ,МОРСКИЕ ЛЬВЫ И МОРЖИ (ПОДОТРЯДА PINNIPEDIA)"
0106120010,"КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ, ЛАМАНТИНЫ И ДЮГОНИ, ТЮЛЕНИ, МОРСКИЕ ЛЬВЫ И МОРЖИ, ЖИВЫЕ МЛЕКОПИТАЮЩИЕ, ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106120090,"КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ, ЛАМАНТИНЫ И ДЮГОНИ, ТЮЛЕНИ, МОРСКИЕ ЛЬВЫ И МОРЖИ, ЖИВЫЕ МЛЕКОПИТАЮЩИЕ ПРОЧИЕ"
010613,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)
01061300,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)
0106130010,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ МЛЕКОПИТАЮЩИЕ,   ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)"
0106130090,ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ ПРОЧИЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE):
010614,КРОЛИКИ И ЗАЙЦЫ
01061410,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: КРОЛИКИ ДОМАШНИЕ
0106141010,"КРОЛИКИ ДОМАШНИЕ, ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106141090,ПРОЧИЕ КРОЛИКИ ДОМАШНИЕ
01061490,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: КРОЛИКИ И ЗАЙЦЫ ПРОЧИЕ
0106149010,ЖИВЫЕ ЖИВОТНЫЕ  МЛЕКОПИТАЮЩИЕ ПРОЧИЕ ДЛЯ НАУЧНЫХ ЦЕЛЕЙ
0106149090,ЖИВЫЕ ЖИВОТНЫЕ  МЛЕКОПИТАЮЩИЕ ПРОЧИЕ
010619,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ МЛЕКОПИТАЮЩИЕ
01061900,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ МЛЕКОПИТАЮЩИЕ
0106190010,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ"
0106190091,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, МЛЕКОПИТАЮЩИЕ, ЛИСИЦЫ"
0106190092,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ, ПЕСЦЫ"
0106190093,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ, СОБОЛИ"
0106190094,"ЖИВЫЕ ЖИВОТНЫЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ, НОРКИ"
0106190099,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, МЛЕКОПИТАЮЩИЕ ПРОЧИЕ"
010620,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
01062000,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
0106200010,РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ) ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106200090,ПРОЧИЕ РЕПТИЛИИ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
010631,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ХИЩНЫЕ ПТИЦЫ
01063100,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ХИЩНЫЕ ПТИЦЫ
0106310010,ХИЩНЫЕ ПТИЦЫ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106310090,ПРОЧИЕ ХИЩНЫЕ ПТИЦЫ
010632,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПТИЦЫ ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ, АРА И КАКАДУ)"
01063200,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПТИЦЫ ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ, АРА И КАКАДУ)"
0106320010,"ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ АРА И КАКАДУ) ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106320090,"ПРОЧИЕ ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ, АРА И КАКАДУ)"
010633,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: СТРАУСЫ; ЭМУ (DROMAIUS NOVAEHOLLANDIAE)
01063300,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: СТРАУСЫ; ЭМУ (DROMAIUS NOVAEHOLLANDIAE)
0106330010,"СТРАУСЫ; ЭМУ (DROMAIUS OVAEHOLLANDIAE), ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106330090,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ: СТРАУСЫ; ЭМУ (DROMAIUS NOVAEHOLLANDIAE), ПРОЧИЕ"
010639,ПРОЧИЕ ХИЩНЫЕ ПТИЦЫ
01063910,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ ПРОЧИЕ: ГОЛУБИ"
0106391000,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ ПРОЧИЕ: ГОЛУБИ"
01063980,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПТИЦЫ ПРОЧИЕ
0106398010,ПРОЧИЕ ПТИЦЫ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ РАБОТ
0106398090,ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ: ПТИЦЫ ПРОЧИЕ
010641,ЖИВЫЕ ПЧЕЛЫ
01064100,ЖИВЫЕ ПЧЕЛЫ
0106410001,ПЧЕЛЫ МЕДОНОСНЫЕ: МАТКИ ПЧЕЛИНЫЕ
0106410002,ПЧЕЛЫ МЕДОНОСНЫЕ: ПЧЕЛОПАКЕТЫ
0106410003,"ПРОЧИЕ ПЧЕЛЫ, МЕДОНОСНЫЕ: ПРОЧИЕ"
0106410008,ПРОЧИЕ ПЧЕЛЫ ДЛЯ НАУЧНО ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106410009,ПРОЧИЕ ПЧЕЛЫ: ПРОЧИЕ
010649,ПРОЧИЕ ЖИВЫЕ НАСЕКОМЫЕ
01064900,ПРОЧИЕ ЖИВЫЕ НАСЕКОМЫЕ
0106490001,ПРОЧИЕ НАСЕКОМЫЕ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106490009,ПРОЧИЕ НАСЕКОМЫЕ: ПРОЧИЕ
010690,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ
01069000,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ
0106900010,ПРОЧИЕ ЖИВОТНЫЕ ЖИВЫЕ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106900090,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ
02,МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ
0201,"МЯСО КРУПНОГО РОГАТОГО СКОТА, СВЕЖЕЕ ИЛИ ОХЛАЖДЕННОЕ"
